Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
551,Joel Ward,eng ENG,DF,Crystal Palace,33,1989,22.0,0,10,0,0.0,0.45,0.00,0.00,,18.0,0,0,0,0.9,0.9,0.09,-0.9,-0.9,Matches
552,James Ward-Prowse,eng ENG,MF,West Ham,28,1994,33.3,7,42,16,38.1,1.26,0.48,0.12,0.31,22.8,16,2,2,6.0,4.4,0.11,+1.0,+0.6,Matches
553,Lewis Warrington,eng ENG,FW,Everton,20,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
554,Deivid Washington,br BRA,"DF,FW",Chelsea,18,2005,0.1,0,1,0,0.0,6.92,0.00,0.00,,9.0,0,0,0,0.5,0.5,0.47,-0.5,-0.5,Matches
555,Ollie Watkins,eng ENG,FW,Aston Villa,27,1995,35.7,19,107,47,43.9,2.99,1.31,0.18,0.40,12.8,0,0,0,16.8,16.8,0.16,+2.2,+2.2,Matches
556,Adam Webster,eng ENG,DF,Brighton,28,1995,12.7,0,8,0,0.0,0.63,0.00,0.00,,9.9,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
557,Danny Welbeck,eng ENG,"FW,MF",Brighton,32,1990,18.8,5,41,16,39.0,2.18,0.85,0.12,0.31,14.5,1,0,0,5.3,5.3,0.13,-0.3,-0.3,Matches
558,Timo Werner,de GER,FW,Tottenham,27,1996,9.0,2,29,7,24.1,3.23,0.78,0.07,0.29,14.1,0,0,0,3.7,3.7,0.13,-1.7,-1.7,Matches
559,Adam Wharton,eng ENG,MF,Crystal Palace,19,2004,14.4,0,10,1,10.0,0.69,0.07,0.00,0.00,24.2,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
560,Ethan Wheatley,eng ENG,FW,Manchester Utd,17,2006,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
561,Ben White,eng ENG,DF,Arsenal,25,1997,33.2,4,13,6,46.2,0.39,0.18,0.31,0.67,13.2,0,0,0,1.2,1.2,0.09,+2.8,+2.8,Matches
562,Joe White,eng ENG,MF,Newcastle Utd,20,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
563,Neco Williams,wls WAL,DF,Nott'ham Forest,22,2001,18.2,0,15,4,26.7,0.82,0.22,0.00,0.00,18.9,0,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
564,Willian,br BRA,FW,Fulham,34,1988,22.8,4,43,16,37.2,1.89,0.70,0.05,0.13,20.4,2,2,2,5.1,3.6,0.08,-1.1,-1.6,Matches
565,Joe Willock,eng ENG,MF,Newcastle Utd,23,1999,4.7,1,7,3,42.9,1.50,0.64,0.14,0.33,10.9,0,0,0,0.8,0.8,0.12,+0.2,+0.2,Matches
566,Callum Wilson,eng ENG,FW,Newcastle Utd,31,1992,11.0,9,33,18,54.5,3.00,1.63,0.21,0.39,11.8,0,2,2,8.8,7.2,0.22,+0.2,-0.2,Matches
567,Harry Wilson,wls WAL,FW,Fulham,26,1997,18.0,4,40,13,32.5,2.22,0.72,0.10,0.31,19.1,3,0,0,3.4,3.4,0.08,+0.6,+0.6,Matches
568,Yoane Wissa,cd COD,FW,Brentford,26,1996,27.7,12,67,24,35.8,2.42,0.87,0.18,0.50,12.9,0,0,0,10.6,10.6,0.16,+1.4,+1.4,Matches
569,Chris Wood,nz NZL,FW,Nott'ham Forest,31,1991,20.1,14,48,26,54.2,2.38,1.29,0.29,0.54,10.2,0,0,0,11.9,11.9,0.25,+2.1,+2.1,Matches
570,Cauley Woodrow,eng ENG,"FW,MF",Luton Town,28,1994,4.7,1,16,4,25.0,3.37,0.84,0.06,0.25,18.7,1,0,0,1.4,1.4,0.09,-0.4,-0.4,Matches
571,Joe Worrall,eng ENG,DF,Nott'ham Forest,26,1997,4.9,0,2,0,0.0,0.41,0.00,0.00,,10.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
572,Yehor Yarmoliuk,ua UKR,MF,Brentford,19,2004,7.6,0,11,5,45.5,1.44,0.65,0.00,0.00,18.9,0,0,0,1.0,1.0,0.09,-1.0,-1.0,Matches
573,Ryan Yates,eng ENG,MF,Nott'ham Forest,25,1997,22.1,1,32,7,21.9,1.45,0.32,0.03,0.14,18.2,0,0,0,2.6,2.6,0.08,-1.6,-1.6,Matches
574,Ashley Young,eng ENG,"DF,MF",Everton,38,1985,25.3,0,13,2,15.4,0.51,0.08,0.00,0.00,21.9,3,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
575,Illia Zabarnyi,ua UKR,DF,Bournemouth,20,2002,37.0,1,8,2,25.0,0.22,0.05,0.13,0.50,7.5,0,0,0,1.1,1.1,0.14,-0.1,-0.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
576,NicolÃ² Zaniolo,it ITA,"FW,MF",Aston Villa,24,1999,9.3,2,27,10,37.0,2.90,1.07,0.07,0.20,14.0,0,0,0,2.6,2.6,0.09,-0.6,-0.6,Matches
577,Anass Zaroury,ma MAR,"FW,MF",Burnley,22,2000,1.7,0,3,1,33.3,1.78,0.59,0.00,0.00,20.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
578,Oleksandr Zinchenko,ua UKR,DF,Arsenal,26,1996,19.1,1,17,3,17.6,0.89,0.16,0.06,0.33,24.0,0,0,0,0.6,0.6,0.03,+0.4,+0.4,Matches
579,Kurt Zouma,fr FRA,DF,West Ham,28,1994,31.5,3,16,7,43.8,0.51,0.22,0.19,0.43,9.1,0,0,0,1.8,1.8,0.12,+1.2,+1.2,Matches
580,Martin Ãdegaard,no NOR,MF,Arsenal,24,1998,34.3,8,75,21,28.0,2.18,0.61,0.08,0.29,20.2,4,2,2,7.4,5.8,0.08,+0.6,+0.2,Matches
